batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
2,9,1,1,2.0618,6.9519,-237.17625375885152,970.0261907071491,287.6911347976812
2,10,1,1,2.063,6.8972,-234.3286476005816,969.4619486185167,289.97274256219913
2,11,1,1,2.0567,6.9415,-237.50668546701021,972.4315651286039,288.1221637974501
2,12,1,1,2.0722,6.8722,-231.63787279220153,965.1578033008396,291.02761852099763
2,13,1,1,2.0548,6.8711,-234.39264161962234,973.3307377846991,291.0742093696788
2,14,1,1,2.0905,6.8492,-227.6345371920593,956.7089213106913,292.0049056824155
2,15,1,1,2.0548,6.9415,-237.81876581662445,973.3307377846991,288.1221637974501
2,16,1,1,2.1585,6.9943,-224.0352096363215,926.5693768820939,285.9471283759633
2,17,1,1,2.4371,7.2548,-197.6816708382914,820.6474908702966,275.67955009097426
2,18,1,1,2.1207,6.8812,-224.47776677512147,943.0848304805019,290.64698017787595
2,19,1,1,2.0639,7.1156,-244.764765734774,969.0391976355444,281.0725729383327
2,20,1,1,2.2554,7.5259,-233.68360379533567,886.7606632969762,265.7489469697976
2,21,1,1,2.2523,7.4285,-229.81840784975358,887.9811747990942,269.23335801305785
2,22,1,1,2.3173,7.7038,-232.44724463815646,863.0734043930436,259.6121394636413
2,23,1,1,2.8718,7.4465,-159.2973048262414,696.4273278083432,268.5825555630162
2,24,1,1,2.2001,7.4295,-237.68919594563886,909.0495886550611,269.19711959082036
2,25,1,1,2.7675,8.1861,-195.7940379403794,722.6738934056008,244.31658543140202
2,26,1,1,2.2987,8.8402,-284.57388958976804,870.0569887327619,226.2392253568924
2,27,1,1,2.3932,8.745,-265.41032926625434,835.7011532675914,228.70211549456835
2,28,1,1,2.7086,10.3602,-282.4928007088533,738.3888355608062,193.04646628443467
2,29,1,1,2.1607,7.8938,-265.3353080020364,925.6259545517657,253.36339912336265
2,30,1,1,2.3454,7.1641,-205.45322759444016,852.7330092947898,279.16974916598036
5,1,1,1,5.3847,10.244,-90.2427247571824,928.5568369639907,488.09058961343226
5,2,1,1,10.0147,16.6163,-65.91909892458087,499.2660788640698,300.9093480498065
