batch_size,invalid_ratio_pct,invalid_requests,latency_ms,verification_calls,max_recursion_depth,isolated_invalid,isolation_correct,throughput_auth_s
50,5,2,130.137,21,6,2,1,384.2104858725804
50,5,2,133.0199,23,6,2,1,375.8836083924285
50,5,2,129.9041,23,6,2,1,384.89932188437473
50,5,2,112.8454,19,6,2,1,443.08407786227883
50,5,2,128.7664,23,6,2,1,388.30005343008736
50,5,2,133.4074,21,6,2,1,374.79180315334827
50,5,2,142.8466,23,6,2,1,350.0258319063947
50,5,2,144.6642,23,6,2,1,345.62801301220344
50,5,2,100.6698,17,6,2,1,496.67328235478766
50,5,2,116.521,19,6,2,1,429.1071995605942
50,5,2,124.7413,21,6,2,1,400.8295568508585
50,5,2,114.8974,19,6,2,1,435.1708567817896
50,5,2,108.6632,17,6,2,1,460.13737861575953
50,5,2,138.4932,23,6,2,1,361.0285559146586
50,5,2,97.1786,13,6,2,1,514.5165705206701
50,5,2,141.526,21,6,2,1,353.2919746195045
50,5,2,109.5512,17,6,2,1,456.4075975434318
50,5,2,143.4561,23,6,2,1,348.5386818685298
50,5,2,132.9951,23,6,2,1,375.9537005498699
50,5,2,108.003,17,6,2,1,462.950103237873
50,5,2,126.5964,19,6,2,1,394.9559387154769
50,5,2,129.4123,21,6,2,1,386.362038229751
50,5,2,145.3526,23,6,2,1,343.9910947585389
50,5,2,157.1394,23,6,2,1,318.1888183358216
50,5,2,160.0402,21,6,2,1,312.42150409709564
50,5,2,145.3929,21,6,2,1,343.89574731640954
50,5,2,137.6805,21,6,2,1,363.15963408035276
50,5,2,183.6906,23,6,2,1,272.1968353307137
50,5,2,114.0619,15,6,2,1,438.3584702692135
50,10,5,127.4517,29,6,5,1,392.3054772906128
50,10,5,159.5607,39,6,5,1,313.3603700660626
50,10,5,143.404,37,6,5,1,348.6653091963962
50,10,5,162.1293,43,6,5,1,308.3958297482318
50,10,5,164.7111,43,6,5,1,303.56181216687884
50,10,5,201.9567,39,6,5,1,247.57782237479617
50,10,5,158.326,33,6,5,1,315.8041004004396
50,10,5,121.5863,27,6,5,1,411.23054159884794
50,10,5,158.3632,39,6,5,1,315.7299170514362
50,10,5,136.7621,35,6,5,1,365.598363874202
50,10,5,155.8476,41,6,5,1,320.8262430733614
50,10,5,151.2936,39,6,5,1,330.48324582136985
50,10,5,112.8737,29,6,5,1,442.9729866213299
50,10,5,135.1826,33,6,5,1,369.87008683070155
50,10,5,142.0461,33,6,5,1,351.99840051926805
50,10,5,129.5296,31,6,5,1,386.0121547507288
50,10,5,103.1204,25,6,5,1,484.87011299413115
50,10,5,137.8608,33,6,5,1,362.6846790385664
50,10,5,150.3414,39,6,5,1,332.5763894708976
50,10,5,165.7844,45,6,5,1,301.5965313986117
