r_B,batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
1,25,9,1,1,31.4647,9.4204,70.0604169116502,794.5411842477444,2653.815124623158
1,25,10,1,1,31.9772,9.9603,68.85186945698811,781.8070375142289,2509.9645593004225
1,25,11,1,1,33.558,9.8205,70.73574110495262,744.9788426008702,2545.69522936714
1,25,12,1,1,32.696,9.6313,70.54287986298019,764.6195253241988,2595.7035914154894
1,25,13,1,1,33.7563,9.4051,72.13823789929586,740.6024949416849,2658.1322899278052
1,25,14,1,1,30.2411,9.0603,70.03978029899706,826.6895053420676,2759.290531218613
1,25,15,1,1,30.5854,9.1143,70.20048781444741,817.3834574666345,2742.9424091811766
1,25,16,1,1,30.962,9.3791,69.70770622052841,807.4413797558298,2665.5009542493417
1,25,17,1,1,37.4289,11.0392,70.50621311339633,667.9330677631456,2264.6568591926953
1,25,18,1,1,32.4662,9.6765,70.19515680923544,770.03160209695,2583.578773316798
1,25,19,1,1,30.8874,9.3463,69.74073570452677,809.3915318220375,2674.855290328793
1,25,20,1,1,31.3375,9.5475,69.53330674112486,797.7662544874353,2618.4865147944492
1,25,21,1,1,36.5815,10.0707,72.47051105066768,683.4055465194157,2482.4490849692675
1,25,22,1,1,26.1837,7.871,69.9393133896279,954.7924854012228,3176.21649091602
1,25,23,1,1,26.5181,7.725,70.86895365806751,942.7523088004043,3236.245954692557
1,25,24,1,1,26.0037,7.8107,69.96312063283301,961.4016466887406,3200.737449908459
1,25,25,1,1,26.1039,7.8608,69.88649205674248,957.7112998440846,3180.3378790962756
1,25,26,1,1,26.0678,7.6731,70.56483477700459,959.0375866010942,3258.1355645045683
1,25,27,1,1,28.1563,8.256,70.6779654997283,887.9007540053202,3028.1007751937987
1,25,28,1,1,26.9918,7.8893,70.77149356471224,926.2072184885781,3168.8489473083796
1,25,29,1,1,26.4706,7.8487,70.3493687336139,944.4440246915445,3185.2408679144314
1,25,30,1,1,26.3635,7.8658,70.16405257268572,948.2807669694844,3178.316255180655
1,50,1,1,1,53.0926,15.3502,71.08787288624026,941.7508277989776,3257.2865500123776
1,50,2,1,1,52.1101,14.6072,71.96858190638667,959.5068902189787,3422.969494495865
1,50,3,1,1,52.5072,14.9979,71.43648871011975,952.2503580461347,3333.8000653424815
1,50,4,1,1,52.9392,15.1166,71.44535618218636,944.4797050200985,3307.6220843311326
1,50,5,1,1,55.8561,16.7321,70.04427448389701,895.1573776185592,2988.268059598018
1,50,6,1,1,52.8443,14.9317,71.74397238680426,946.175841103014,3348.5805367104886
1,50,7,1,1,54.2564,15.1886,72.00588317691553,921.5502687240585,3291.94264119142
1,50,8,1,1,53.3913,15.4416,71.0784341269083,936.482160951316,3238.0064242047456
1,50,9,1,1,53.5998,15.1597,71.7168720778809,932.8393016391851,3298.218302473004
1,50,10,1,1,52.7153,14.939,71.66097888089416,948.4912349924974,3346.944239908963
1,50,11,1,1,52.3236,14.6779,71.94783998042948,955.5917406294674,3406.481853671166
